Sortowanie,RozmiarTablicy,MetodaInicjalizacji,CzasSortowania
SelectionSort,37500,descending,26041
SelectionSort,37500,constant,20521
SelectionSort,37500,v-shape,26484
SelectionSort,40000,random,29564
SelectionSort,40000,ascending,27741
SelectionSort,40000,descending,26744
SelectionSort,40000,constant,22702
SelectionSort,40000,v-shape,26378
SelectionSort,42500,random,35503
SelectionSort,42500,ascending,29362
SelectionSort,42500,descending,24556
SelectionSort,42500,constant,26345
SelectionSort,42500,v-shape,23771
SelectionSort,45000,random,26406
SelectionSort,45000,ascending,26289
SelectionSort,45000,descending,25879
SelectionSort,45000,constant,27208
SelectionSort,45000,v-shape,26770
SelectionSort,47500,random,29988
SelectionSort,47500,ascending,29929
SelectionSort,47500,descending,31480
SelectionSort,47500,constant,36786
SelectionSort,47500,v-shape,31510
SelectionSort,50000,random,38651
SelectionSort,50000,ascending,32623
SelectionSort,50000,descending,31063
SelectionSort,50000,constant,32616
SelectionSort,50000,v-shape,31076
HeapSort,2500,random,2
HeapSort,2500,ascending,1
HeapSort,2500,descending,1
HeapSort,2500,constant,0
HeapSort,2500,v-shape,1
HeapSort,5000,random,3
HeapSort,5000,ascending,4
HeapSort,5000,descending,3
HeapSort,5000,constant,0
HeapSort,5000,v-shape,3
HeapSort,7500,random,5
HeapSort,7500,ascending,7
HeapSort,7500,descending,6
HeapSort,7500,constant,0
HeapSort,7500,v-shape,5
HeapSort,10000,random,7
HeapSort,10000,ascending,7
HeapSort,10000,descending,7
HeapSort,10000,constant,0
HeapSort,10000,v-shape,7
HeapSort,12500,random,9
HeapSort,12500,ascending,10
HeapSort,12500,descending,9
HeapSort,12500,constant,1
HeapSort,12500,v-shape,10
HeapSort,15000,random,12
HeapSort,15000,ascending,12
HeapSort,15000,descending,11
HeapSort,15000,constant,1
HeapSort,15000,v-shape,11
HeapSort,17500,random,15
HeapSort,17500,ascending,15
HeapSort,17500,descending,17
HeapSort,17500,constant,1
HeapSort,17500,v-shape,14
HeapSort,20000,random,17
HeapSort,20000,ascending,16
HeapSort,20000,descending,15
HeapSort,20000,constant,2
HeapSort,20000,v-shape,15
HeapSort,22500,random,19
HeapSort,22500,ascending,19
HeapSort,22500,descending,17
HeapSort,22500,constant,2
HeapSort,22500,v-shape,19
HeapSort,25000,random,23
HeapSort,25000,ascending,21
HeapSort,25000,descending,19
HeapSort,25000,constant,2
HeapSort,25000,v-shape,19
HeapSort,27500,random,24
HeapSort,27500,ascending,23
HeapSort,27500,descending,22
HeapSort,27500,constant,3
HeapSort,27500,v-shape,27
HeapSort,30000,random,35
HeapSort,30000,ascending,29
HeapSort,30000,descending,24
HeapSort,30000,constant,3
HeapSort,30000,v-shape,24
HeapSort,32500,random,28
HeapSort,32500,ascending,34
HeapSort,32500,descending,34
HeapSort,32500,constant,3
HeapSort,32500,v-shape,29
HeapSort,35000,random,33
HeapSort,35000,ascending,30
HeapSort,35000,descending,28
HeapSort,35000,constant,3
HeapSort,35000,v-shape,33
HeapSort,37500,random,33
HeapSort,37500,ascending,32
HeapSort,37500,descending,31
HeapSort,37500,constant,3
HeapSort,37500,v-shape,30
HeapSort,40000,random,36
HeapSort,40000,ascending,38
HeapSort,40000,descending,32
HeapSort,40000,constant,4
HeapSort,40000,v-shape,33
HeapSort,42500,random,37
HeapSort,42500,ascending,39
HeapSort,42500,descending,39
HeapSort,42500,constant,4
HeapSort,42500,v-shape,37
HeapSort,45000,random,41
HeapSort,45000,ascending,41
HeapSort,45000,descending,46
HeapSort,45000,constant,4
HeapSort,45000,v-shape,44
HeapSort,47500,random,52
HeapSort,47500,ascending,42
HeapSort,47500,descending,45
