Sortowanie,RozmiarTablicy,MetodaInicjalizacji,CzasSortowania
SelectionSort,37500,v-shape,7178
SelectionSort,40000,random,7900
SelectionSort,40000,ascending,7717
SelectionSort,40000,descending,9576
SelectionSort,40000,constant,8272
SelectionSort,40000,v-shape,8568
SelectionSort,42500,random,8121
SelectionSort,42500,ascending,9057
SelectionSort,42500,descending,10047
SelectionSort,42500,constant,8707
SelectionSort,42500,v-shape,8398
SelectionSort,45000,random,9993
SelectionSort,45000,ascending,10033
SelectionSort,45000,descending,12491
SelectionSort,45000,constant,11675
SelectionSort,45000,v-shape,11002
SelectionSort,47500,random,7714
SelectionSort,47500,ascending,5742
SelectionSort,47500,descending,7529
SelectionSort,47500,constant,7936
SelectionSort,47500,v-shape,9002
SelectionSort,50000,random,7220
SelectionSort,50000,ascending,6342
SelectionSort,50000,descending,8609
SelectionSort,50000,constant,8954
SelectionSort,50000,v-shape,8341
HeapSort,2500,random,1
HeapSort,2500,ascending,0
HeapSort,2500,descending,1
HeapSort,2500,constant,0
HeapSort,2500,v-shape,0
HeapSort,5000,random,1
HeapSort,5000,ascending,1
HeapSort,5000,descending,1
HeapSort,5000,constant,0
HeapSort,5000,v-shape,1
HeapSort,7500,random,1
HeapSort,7500,ascending,1
HeapSort,7500,descending,1
HeapSort,7500,constant,0
HeapSort,7500,v-shape,1
HeapSort,10000,random,2
HeapSort,10000,ascending,2
HeapSort,10000,descending,2
HeapSort,10000,constant,0
HeapSort,10000,v-shape,2
HeapSort,12500,random,3
HeapSort,12500,ascending,3
HeapSort,12500,descending,3
HeapSort,12500,constant,0
HeapSort,12500,v-shape,3
HeapSort,15000,random,4
HeapSort,15000,ascending,4
HeapSort,15000,descending,4
HeapSort,15000,constant,0
HeapSort,15000,v-shape,3
HeapSort,17500,random,4
HeapSort,17500,ascending,4
HeapSort,17500,descending,5
HeapSort,17500,constant,0
HeapSort,17500,v-shape,4
HeapSort,20000,random,5
HeapSort,20000,ascending,5
HeapSort,20000,descending,5
HeapSort,20000,constant,1
HeapSort,20000,v-shape,5
HeapSort,22500,random,6
HeapSort,22500,ascending,6
HeapSort,22500,descending,6
HeapSort,22500,constant,0
HeapSort,22500,v-shape,6
HeapSort,25000,random,7
HeapSort,25000,ascending,6
HeapSort,25000,descending,9
HeapSort,25000,constant,1
HeapSort,25000,v-shape,8
HeapSort,27500,random,8
HeapSort,27500,ascending,8
HeapSort,27500,descending,7
HeapSort,27500,constant,1
HeapSort,27500,v-shape,7
HeapSort,30000,random,9
HeapSort,30000,ascending,8
HeapSort,30000,descending,10
HeapSort,30000,constant,1
HeapSort,30000,v-shape,8
HeapSort,32500,random,9
HeapSort,32500,ascending,11
HeapSort,32500,descending,8
HeapSort,32500,constant,1
HeapSort,32500,v-shape,10
HeapSort,35000,random,10
